title,description,tags,difficulty,category,hint
Kth Largest Element,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order.","Greedy, Sorting, Array",EASY,SORTING_ALGORITHM,"Sort intervals by start time. Then iterate and compare each interval with the last merged one. If they overlap (current.start <= lastMerged.end), extend the end. Otherwise, add a new interval."
Course Schedule,There are n courses labeled 0 to n-1. Some courses have prerequisites. Determine if it is possible to finish all courses given the prerequisite pairs.,"BFS, Matrix, Graph, DFS",HARD,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Valid Parentheses,"Given a string containing just the characters (, ), {, }, [ and ], determine if the input string is valid. Brackets must be closed in the correct order.","Design, Stack",EASY,STACK_QUEUE,"Maintain two stacks: one for actual values and one for tracking the current minimum. When pushing, also push onto the min stack if the value is <= current min. When popping, pop from min stack if the value equals current min."
Merge Two Sorted Lists,Merge the two sorted linked lists into one sorted list. The list should be made by splicing together the nodes of the first two lists.,Linked List,EASY,LINKED_LIST,"Use Floyd's Cycle Detection (tortoise and hare): slow pointer moves 1 step, fast pointer moves 2 steps. If they ever meet, there is a cycle. If fast reaches null, there is no cycle."
Valid Anagram,"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An anagram uses the exact same letters the same number of times.",Array,EASY,HASH_MAP_LOOKUP,"Use a Hash Map (dictionary) to store values as keys while you iterate through the array. For each element, check if the complement (target - current) already exists in the map. This reduces O(n²) brute force to O(n)."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.","Sorting, Greedy",EASY,SORTING_ALGORITHM,"Use a Min-Heap of size k. Iterate through all elements, pushing each one. If heap size exceeds k, pop the smallest. At the end, the heap's top is the kth largest. O(n log k) time."
Permutation in String,"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise. A permutation is a rearrangement of all characters.","Sliding Window, Array, String",MEDIUM,SLIDING_WINDOW,"Create a frequency map of s1. Slide a window of size len(s1) across s2, maintaining a frequency map of the window. Compare the two maps at each position."
Contains Duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.","Hash Table, Two Pointers, Array",EASY,HASH_MAP_LOOKUP,"Sort each string's characters to create a canonical key, then group strings sharing the same key using a Hash Map of lists."
Min Stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.","Stack, Queue, Design",EASY,STACK_QUEUE,"Maintain two stacks: one for actual values and one for tracking the current minimum. When pushing, also push onto the min stack if the value is <= current min. When popping, pop from min stack if the value equals current min."
Maximum Depth of Binary Tree,"Given the root of a binary tree, return its maximum depth. Maximum depth is the number of nodes along the longest path from the root down to the farthest leaf node.","Tree, BFS, DFS, Binary Tree",EASY,TREE_TRAVERSAL,"Use Breadth-First Search with a Queue. Start with the root. For each level, process all nodes currently in the queue, adding their children for the next level. Collect values per level."
Maximum Average Subarray,"Given an integer array nums and an integer k, find a contiguous subarray whose length is equal to k that has the maximum average value.","Sliding Window, String",MEDIUM,SLIDING_WINDOW,"Use a fixed-size sliding window of length k. Compute the sum of the first k elements, then slide by adding the next element and removing the leftmost. Track the maximum sum found."
Find Peak Element,"Given an integer array nums, find a peak element and return its index. A peak element is strictly greater than its neighbors. The array may contain multiple peaks.","Sorting, Array, Binary Search",EASY,BINARY_SEARCH,"Determine which half is sorted by comparing nums[left] with nums[mid]. Then check if the target lies within the sorted half. If yes, search that half; otherwise search the other half."
Maximum Average Subarray,"Given an integer array nums and an integer k, find a contiguous subarray whose length is equal to k that has the maximum average value.",Array,HARD,SLIDING_WINDOW,"Create a frequency map of s1. Slide a window of size len(s1) across s2, maintaining a frequency map of the window. Compare the two maps at each position."
Permutation in String,"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise. A permutation is a rearrangement of all characters.",String,MEDIUM,SLIDING_WINDOW,"Create a frequency map of s1. Slide a window of size len(s1) across s2, maintaining a frequency map of the window. Compare the two maps at each position."
Sort Colors,"Given an array nums with n objects colored red (0), white (1), and blue (2), sort them in-place so that objects of the same color are adjacent, in order 0 1 2.",Array,EASY,SORTING_ALGORITHM,"Use a Min-Heap of size k. Iterate through all elements, pushing each one. If heap size exceeds k, pop the smallest. At the end, the heap's top is the kth largest. O(n log k) time."
Number of Islands,"Given a 2D grid map of ones (land) and zeros (water), count the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.","Matrix, BFS",MEDIUM,GRAPH_TRAVERSAL,"Use DFS or BFS with a visited HashMap mapping original nodes to their clones. For each node, create a clone, then recursively clone all unvisited neighbors."
Maximum Average Subarray,"Given an integer array nums and an integer k, find a contiguous subarray whose length is equal to k that has the maximum average value.",String,HARD,SLIDING_WINDOW,"Use a fixed-size sliding window of length k. Compute the sum of the first k elements, then slide by adding the next element and removing the leftmost. Track the maximum sum found."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.","Greedy, Array, Sorting",MEDIUM,SORTING_ALGORITHM,"Use the Dutch National Flag algorithm with three pointers: low, mid, high. Swap 0s to the front (low) and 2s to the back (high), leaving 1s in the middle. Single pass O(n)."
Find Peak Element,"Given an integer array nums, find a peak element and return its index. A peak element is strictly greater than its neighbors. The array may contain multiple peaks.",Sorting,EASY,BINARY_SEARCH,"Determine which half is sorted by comparing nums[left] with nums[mid]. Then check if the target lies within the sorted half. If yes, search that half; otherwise search the other half."
Daily Temperatures,"Given an array of daily temperatures, return an array where answer[i] is the number of days you have to wait until a warmer temperature. If no future warmer day exists, set it to 0.","Queue, Design",MEDIUM,STACK_QUEUE,"Use a Monotonic Stack (decreasing). Iterate through temperatures. For each day, pop all stack elements with lower temperatures and record the distance. Push the current day's index onto the stack."
Group Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An anagram is a rearrangement of letters.","Two Pointers, Array, Hash Table",MEDIUM,HASH_MAP_LOOKUP,"Use a Hash Map (dictionary) to store values as keys while you iterate through the array. For each element, check if the complement (target - current) already exists in the map. This reduces O(n²) brute force to O(n)."
